N,sample,seed,avg_degree,edges,threshold,threshold_RR,delta_threshold,S_N,R_N,epsilon,epsilon_crit,margin_M,relative_residual,source_row
316,62,82579458,4,632,4.1449331904976798,4.0779220779220804,0.067011112575597706,133.62327781935099,33.755222955833297,0.0026148400690183,0.0065200195210126004,-0.0039051794519943,5.7813014596064601e-07,1162
316,70,90579482,4,632,4.1422473549149297,4.0779220779220804,0.064325276992850206,140.98819646704499,35.553813836167897,0.0021758184521387001,0.0059298839789460002,-0.0037540655268073,1.9035437908718101e-07,1170
316,132,152579668,4,632,4.1665134449111303,4.0779220779220804,0.088591366989054302,127.539795131961,32.130658965842898,0.0019265373807321,0.0070588760311344001,-0.0051323386504022999,9.9798226992493496e-07,1232
316,170,190579782,4,632,4.1669807712765898,4.0779220779220804,0.089058693354507695,122.900458142359,31.013922559026099,0.0023499344738153001,0.0075056680395179003,-0.0051557335657024996,6.4257465372139801e-07,1270
316,276,296580100,4,632,4.1453126058885701,4.0779220779220804,0.067390527966492406,137.88340797465199,34.780014568300402,0.0022422028812496999,0.0061709777275591,-0.0039287748463093996,7.5265432309405498e-07,1376
316,283,303580121,4,632,4.16909843763976,4.0779220779220804,0.091176359717681302,120.435041590168,30.407830223399198,0.0024832459216883999,0.0077571070345650002,-0.0052738611128765002,6.1360179906798604e-07,1383
316,286,306580130,4,632,4.1437497457203101,4.0779220779220804,0.065827667798234998,139.44192519446,35.168490893306497,0.0022088736530424002,0.0060486133742117002,-0.0038397397211693001,9.1743661657062296e-07,1386
316,334,354580274,4,632,4.1512613332304698,4.0779220779220804,0.073339255308391998,136.79230867873801,34.470205585864697,0.0019893546560383001,0.0062583028655880998,-0.0042689482095498001,4.7445473468054299e-07,1434
316,339,359580289,4,632,4.1398243489923701,4.0779220779220804,0.061902271070289699,143.120876554592,36.088614667282798,0.0021547906640796001,0.0057703369706077999,-0.0036155463065281001,3.8673061254175398e-07,1439
316,360,380580352,4,632,4.1627563147429996,4.0779220779220804,0.084834236820920103,128.91563897513399,32.4883663354505,0.0020126075760049998,0.0069325576597393003,-0.0049199500837342003,3.9014785443628902e-07,1460
316,363,383580361,4,632,4.1489484611084499,4.0779220779220804,0.071026383186370404,129.278164084379,32.677210252043402,0.0027666639101946999,0.0068997212244470002,-0.0041330573142523003,6.8279781568775705e-07,1463
316,375,395580397,4,632,4.1647198039365296,4.0779220779220804,0.086797726014451002,125.804117797082,31.7268779230407,0.0021926823906908998,0.0072221726205733998,-0.0050294902298823998,9.4132436074281904e-07,1475
316,404,424580484,4,632,4.21702010305932,4.0779220779220804,0.13909802513724301,97.447030297308601,24.633762286626901,0.0027913083802537002,0.010713952448964901,-0.0079226440687111006,5.7767268513113998e-07,1504
316,420,440580532,4,632,4.1614386518137501,4.0779220779220804,0.083516573891672302,127.858519643732,32.243992581606001,0.0021849359076854002,0.0070293714963492,-0.0048444355886636996,2.7606685182856601e-07,1520
316,472,492580688,4,632,4.16140408005485,4.0779220779220804,0.083482002132774902,131.18721023754301,33.044139853291497,0.0018853765809775001,0.0067297996791260001,-0.0048444230981483996,6.94343486467621e-07,1572
316,475,495580697,4,632,4.1549433928586197,4.0779220779220804,0.077021314936541102,150.10206701794701,37.6447855040267,0.00079458432458320003,0.0052797810517996998,-0.0044851967272164003,7.0765659111689499e-07,1575
316,493,513580751,4,632,4.2019487629646504,4.0779220779220804,0.124026685042574,104.87395104648,26.482438215861698,0.0025168352256008,0.0096169155262865007,-0.0071000803006857002,5.2821221290453502e-08,1593
