case,module,local_node,global_node,is_bridge_endpoint,distance_to_bridge_endpoint_before,top10_shell,degree_before,degree_after,tau_before,tau_after,delta_tau,tau_before_minus_S_before,tau_after_minus_S_after,delta_tau_centered,tau_ratio,shell,case_label,case_order
shell0-shell0,1,919,919,0,-1,2,2,2,340.371209500845,657.88614502718497,317.51493552634003,-67.890530952167794,-144.10983505319399,-76.219304101026196,1.9328489797711601,2,shell0-shell0,0
shell0-shell0,1,920,920,0,-1,2,2,2,307.07064403149298,595.40228623422297,288.33164220273,-101.19109642152,-206.59369384615599,-105.402597424636,1.93897494862178,2,shell0-shell0,0
shell0-shell0,1,922,922,0,-1,2,2,2,373.91303815787302,724.73752790502499,350.82448974715197,-34.348702295139603,-77.258452175353298,-42.909749880213802,1.9382515556973601,2,shell0-shell0,0
shell0-shell0,1,928,928,0,-1,2,2,2,294.303051358804,569.52285874199504,275.21980738319098,-113.95868909420901,-232.47312133838301,-118.514432244174,1.9351578453315199,2,shell0-shell0,0
shell0-shell0,1,930,930,0,2,2,2,2,323.01128938054899,649.57494914804704,326.563659767498,-85.250451072463605,-152.421030932332,-67.170579859868099,2.0109976663470799,2,shell0-shell0,0
shell0-shell0,1,932,932,0,-1,2,2,2,320.09558772754798,622.67218743449405,302.57659970694601,-88.1661527254644,-179.32379264588499,-91.157639920420294,1.9452695110701901,2,shell0-shell0,0
shell0-shell0,1,937,937,0,-1,2,2,2,285.82647808853699,557.77664615990295,271.95016807136602,-122.435262364476,-244.219333920476,-121.784071556,1.95145197845221,2,shell0-shell0,0
shell0-shell0,1,938,938,0,-1,2,2,2,289.81572874493497,566.410005422631,276.59427667769501,-118.44601170807699,-235.58597465774801,-117.139962949671,1.9543797980720501,2,shell0-shell0,0
shell0-shell0,1,939,939,0,-1,2,2,2,305.12715287811102,600.60672940180302,295.47957652369303,-103.134587574902,-201.389250678575,-98.254663103672996,1.96838178358295,2,shell0-shell0,0
shell0-shell0,1,940,940,0,-1,2,2,2,302.78128658393598,585.70972416381801,282.92843757988197,-105.480453869077,-216.286255916561,-110.80580204748399,1.93443171727011,2,shell0-shell0,0
shell0-shell0,1,943,943,0,-1,2,3,3,326.29573563734499,631.06198854001502,304.76625290266998,-81.9660048156682,-170.93399154036399,-88.967986724695507,1.93401849799654,2,shell0-shell0,0
shell0-shell0,1,945,945,0,-1,2,2,2,383.87886026324998,747.13368776279106,363.25482749954102,-24.382880189762801,-54.862292317587297,-30.479412127824499,1.9462746327068801,2,shell0-shell0,0
shell0-shell0,1,946,946,0,-1,2,2,2,314.69507518074499,609.42048278301195,294.72540760226701,-93.566665272268096,-192.57549729736701,-99.008832025098499,1.9365428023714499,2,shell0-shell0,0
shell0-shell0,1,948,948,0,-1,2,2,2,352.105374712784,682.04050925297895,329.93513454019501,-56.1563657402288,-119.95547082740001,-63.799105087171199,1.9370352122836101,2,shell0-shell0,0
shell0-shell0,1,953,953,0,-1,2,2,2,345.020468439105,673.02470792527595,328.00423948616998,-63.241272013907597,-128.97127215510301,-65.730000141195305,1.9506805233036799,2,shell0-shell0,0
shell0-shell0,1,954,954,0,-1,2,2,2,356.808251602474,691.70057451149603,334.892322909021,-51.453488850538299,-110.295405568883,-58.8419167183444,1.9385778535249001,2,shell0-shell0,0
shell0-shell0,1,955,955,0,2,2,2,2,334.26705727420801,684.38041509055802,350.11335781635,-73.994683178805104,-117.615564989821,-43.6208818110156,2.0474061089697599,2,shell0-shell0,0
shell0-shell0,1,957,957,0,-1,2,2,2,385.69565270007701,746.59872451668002,360.90307181660302,-22.566087752935399,-55.397255563698302,-32.831167810762899,1.93571983321587,2,shell0-shell0,0
shell0-shell0,1,958,958,0,-1,2,2,2,317.97898365672398,617.76594243071804,299.786958773994,-90.282756796289206,-184.230037649661,-93.947280853371595,1.94278859353054,2,shell0-shell0,0
shell0-shell0,1,959,959,0,-1,2,2,2,335.06157107111,654.06374584726302,319.00217477615303,-73.200169381902597,-147.932234233115,-74.732064851212797,1.95207031279768,2,shell0-shell0,0
shell0-shell0,1,960,960,0,-1,2,2,2,367.134058782247,710.93653252083095,343.80247373858401,-41.127681670765803,-91.059447559547195,-49.931765888781399,1.9364494127266401,2,shell0-shell0,0
shell0-shell0,1,961,961,0,-1,2,2,2,338.19980950694497,653.59340904682006,315.39359953987503,-70.061930946067804,-148.40257103355901,-78.340640087490996,1.9325658698616099,2,shell0-shell0,0
shell0-shell0,1,963,963,0,-1,2,2,2,343.72384350072201,666.57696264716196,322.85311914644001,-64.537896952290893,-135.41901743321699,-70.881120480925802,1.9392805452722699,2,shell0-shell0,0
shell0-shell0,1,965,965,0,-1,2,2,2,374.74168856456203,728.88646861566099,354.14478005109902,-33.520051888450702,-73.1095114647175,-39.589459576266798,1.94503705047506,2,shell0-shell0,0
shell0-shell0,1,966,966,0,-1,2,3,3,421.73764751803998,817.19751491885097,395.45986740081099,13.4759070650276,15.201534838472901,1.7256277734452401,1.9376916424894099,2,shell0-shell0,0
shell0-shell0,1,969,969,0,2,2,2,2,341.71262949591397,680.52816788796304,338.81553839204901,-66.549110957098705,-121.467812192415,-54.918701235316298,1.9915218494905,2,shell0-shell0,0
shell0-shell0,1,970,970,0,-1,2,2,2,345.567521287891,676.33476010610502,330.76723881821403,-62.694219165121801,-125.661219974273,-62.967000809151301,1.9571710836292799,2,shell0-shell0,0
shell0-shell0,1,972,972,0,-1,2,3,3,357.75250776781598,697.10793882016003,339.35543105234399,-50.509232685196302,-104.888041260218,-54.3788085750219,1.94857596713924,2,shell0-shell0,0
shell0-shell0,1,974,974,0,-1,2,2,2,325.54394106515201,630.23805533152404,304.69411426637203,-82.717799387860893,-171.757924748855,-89.040125360993599,1.9359538785131101,2,shell0-shell0,0
shell0-shell0,1,975,975,0,-1,2,3,3,383.51326003810902,747.76269270405101,364.24943266594198,-24.748480414904201,-54.233287376327603,-29.484806961423399,1.94977011389319,2,shell0-shell0,0
shell0-shell0,1,977,977,0,-1,2,2,2,381.48463573591198,741.42256396566302,359.93792822975098,-26.777104717100698,-60.573416114715798,-33.796311397615099,1.94351880655797,2,shell0-shell0,0
shell0-shell0,1,979,979,0,2,2,2,2,317.19196821069499,633.75560457007805,316.563636359383,-91.069772242317597,-168.24037551030099,-77.170603267982898,1.99801908019659,2,shell0-shell0,0
shell0-shell0,1,981,981,0,-1,2,2,2,316.83738059163699,613.17680355935499,296.33942296771698,-91.424359861375294,-188.81917652102399,-97.394816659648399,1.93530448463611,2,shell0-shell0,0
shell0-shell0,1,983,983,0,2,2,2,2,335.51474831799197,662.58856165298801,327.07381333499598,-72.746992135020506,-139.40741842739001,-66.660426292369806,1.9748418362372699,2,shell0-shell0,0
shell0-shell0,1,987,987,0,-1,2,3,3,335.97256618348399,650.67561215010301,314.70304596661902,-72.289174269529198,-151.32036793027601,-79.031193660746496,1.9366926875653001,2,shell0-shell0,0
shell0-shell0,1,988,988,0,-1,2,2,2,339.243128025354,655.69927242759104,316.45614440223699,-69.018612427658994,-146.296707652788,-77.278095225128595,1.9328299330460901,2,shell0-shell0,0
shell0-shell0,1,989,989,0,2,2,2,2,369.23299442778301,728.60507259905899,359.37207817127597,-39.0287460252298,-73.390907481319601,-34.362161456089801,1.9732935127539499,2,shell0-shell0,0
shell0-shell0,1,992,992,0,-1,2,2,2,343.54256183235799,665.40217602715597,321.85961419479702,-64.719178620654404,-136.59380405322301,-71.874625432568493,1.9368842465343701,2,shell0-shell0,0
shell0-shell0,1,993,993,0,2,2,2,2,294.48535541613097,593.22342023902399,298.73806482289302,-113.776385036882,-208.77255984135499,-94.996174804473199,2.0144411575263299,2,shell0-shell0,0
shell0-shell0,1,994,994,0,2,2,2,2,249.95399744402599,514.31921284770601,264.36521540368,-158.30774300898599,-287.67676723267198,-129.36902422368601,2.0576554810365901,2,shell0-shell0,0
shell0-shell0,1,995,995,0,2,2,2,2,287.375789511856,585.33686129605303,297.96107178419697,-120.88595094115701,-216.65911878432499,-95.773167843168594,2.0368342868768501,2,shell0-shell0,0
shell0-shell0,1,996,996,0,-1,2,2,2,304.66873109624203,590.18626578215503,285.51753468591301,-103.59300935677101,-211.80971429822301,-108.21670494145199,1.9371409191175599,2,shell0-shell0,0
shell0-shell0,2,13,1013,0,-1,2,10,10,477.69043145902702,930.51476257593902,452.82433111691103,69.428691006014603,128.51878249556,59.0900914895455,1.9479451571467199,2,shell0-shell0,0
shell0-shell0,2,17,1017,0,2,2,14,14,476.47564159246002,940.29689715490599,463.82125556244699,68.213901139446804,138.300917074528,70.087015935081098,1.97344169370816,2,shell0-shell0,0
shell0-shell0,2,25,1025,0,2,2,6,6,443.78443460993498,873.20665244394104,429.42221783400601,35.522694156922498,71.210672363562495,35.687978206639997,1.96763695241237,2,shell0-shell0,0
shell0-shell0,2,35,1035,0,-1,2,9,9,419.24038932088803,817.76399335720703,398.523604036319,10.9786488678753,15.7680132768287,4.7893644089534204,1.9505849488449201,2,shell0-shell0,0
shell0-shell0,2,39,1039,0,2,2,14,14,440.18283894917101,862.37191868777404,422.18907973860399,31.9210984961578,60.375938607395803,28.454840111237999,1.9591220792397901,2,shell0-shell0,0
