node,degree,shell,x,y,is_hub
296,2,2,0.36381363185560905,0.040696315658950662,0
297,2,2,0.017035849815587104,-0.38498267281495946,0
298,2,2,-0.18821316315086173,0.23845839252511217,0
299,3,3,0.13057933697622434,0.46639662732116127,0
300,4,2,-0.15516514086518901,0.29382950229344384,0
301,2,1,-0.19191789669701093,0.024134720772209933,0
302,2,3,0.079815096574552297,0.45597627074602598,0
303,5,2,-0.28139815910431992,0.13761700105774455,0
304,3,2,-0.20264843448393788,-0.28131648052618707,0
305,2,1,0.2320204945297627,-0.11027456778197398,0
306,3,1,-0.15691188972470255,-0.096267659661832122,0
307,4,1,-0.12089682802845739,-0.21173981290769148,0
308,5,2,0.082808445025485067,0.33478626876287387,0
309,6,3,-0.35754283422958066,0.23380164212556942,0
310,2,2,-0.20246747110617078,0.25296631532420033,0
311,3,3,0.11869010733178331,0.42307848843872964,0
312,3,2,-0.17063467842840635,0.27784763051261308,0
313,6,2,0.31368523008234234,-0.21805119441385171,0
314,5,1,0.037972612502533129,0.16497860947864451,0
315,2,1,-0.16520389881173014,0.014340181671832541,0
316,3,2,-0.30540488307540309,0.12082769290878828,0
317,3,3,-0.11441354246669558,-0.5,0
318,5,1,-0.073014102649399906,0.13676522374314409,0
319,4,2,-0.32377467430315243,-0.089752902904816967,0
320,6,1,0.045731664795938265,0.16334229836346148,0
321,5,1,-0.19466665789707449,0.063064385030692546,0
322,5,2,0.075192921140706193,0.29468242961095914,0
323,7,2,-0.25717945430052769,0.14388805533846571,0
324,2,2,-0.20853806907177852,0.25705807318870905,0
325,3,2,-0.20359377147695687,-0.28854953368761782,0
326,4,2,0.063167297628406921,0.30243339329185498,0
327,4,1,-0.078861553617970148,0.1288806627349682,0
328,3,2,-0.21044630917489032,-0.30284148458524629,0
329,3,2,0.042992811007672813,0.31707674450513795,0
330,3,2,-0.15908427848937018,0.25600909163922336,0
331,9,2,0.1123935928859062,0.30548474291366201,0
332,2,1,-0.16498350404888917,0.011170373831160416,0
333,3,2,-0.30887990251602854,0.11826409230713858,0
334,2,2,0.35649660110592668,-0.17078237053149722,0
335,5,2,0.33111352712180114,-0.2186406236213915,0
336,3,1,0.018762025097968871,0.17408650276878501,0
337,4,2,-0.23656857213361537,-0.27981420344757002,0
338,8,3,0.1627624087787512,0.45228185202404658,0
339,3,2,-0.3104269428200489,0.11482120697828031,0
340,5,2,0.076037473790238841,0.30900571867162585,0
341,2,1,0.20303163122564621,0.048751421918176843,0
342,2,3,0.07629996912430162,0.4493815571696671,0
343,2,2,0.00731580199279213,0.32507096737030539,0
344,4,2,-0.14261203446144932,0.26722178502039429,0
345,2,3,0.0763990956374965,0.4779584898960435,0
346,4,1,0.03382564819863168,0.17958801557184745,0
347,3,2,0.041220278933979046,0.30825239524817183,0
348,2,3,-0.44188342569779193,0.14075929719349761,0
349,2,1,0.0054938952368700292,0.15849733588641396,0
350,2,2,0.02253978353259356,-0.39064605396549434,0
351,4,1,0.13198328946857679,-0.18008148443853009,0
352,3,1,-0.096715194721357173,0.12992201713470505,0
